P,p1,m4
100.7984802,-0.07,1171983
100.8002502,-0.07,1128153
100.8049866,-0.07,1114363
100.8013184,-0.07,1184540
100.80430909999998,-0.07,1136309
100.8015198,-0.07,1145260
100.8026917,-0.07,1171197
100.7959656,-0.07,1184508
100.7983337,-0.07,1220355
100.7990906,-0.07,1171495
100.7951233,-0.07,1146911
100.7966492,-0.07,1093220
100.799353,-0.07,1113160
100.8021179,-0.07,1133155
100.8008911,-0.07,1056517
100.7982849,-0.07,1093619
100.7989319,-0.07,1116164
100.7982483,-0.07,1069565
100.7995178,-0.07,1176036
100.7993835,-0.07,1146838
100.7980042,-0.07,1106864
100.8039063,-0.07,1127077
100.8041565,-0.07,1103464
100.8040344,-0.07,1139534
100.8076599,-0.07,1143701
100.8058472,-0.07,1129533
100.8084106,-0.07,1099936
100.8059509,-0.07,1139842
100.8035461,-0.08,1159326
100.8097473,-0.07,1141332
100.8049561,-0.08,1141954
100.8126648,-0.07,1192918
100.8112488,-0.07,1150375
100.8081909,-0.07,1119252
100.8127014,-0.07,1119128
100.8078979,-0.07,1210964
100.8126831,-0.07,1154464
100.8070251,-0.07,1103728
100.8064819,-0.07,1073369
100.8084229,-0.07,1110853
100.8103394,-0.07,1166228
100.8100281,-0.07,1136258
100.8094604,-0.07,1123685
100.8104065,-0.07,1123245
100.8111267,-0.07,1142594
100.8146057,-0.07,1166382
100.8139404,-0.08,1141144
100.8091431,-0.07,1127368
100.8111084,-0.07,1138283
100.8086243,-0.07,1152610
100.8114502,-0.07,1133213
100.8068909,-0.07,1138279
100.812854,-0.07,1121692
100.802594,-0.07,1171338
100.8091248,-0.07,1108485
100.8070374,-0.07,1126575
100.8096252,-0.07,1106573
100.8091431,-0.07,1120904
100.8107422,-0.07,1096071
100.8139343,-0.07,1105535
100.810553,-0.08,1155547
100.8159851,-0.07,1139671
100.8183655,-0.07,1162179
100.8156006,-0.07,1162036
100.8131714,-0.07,1147767
100.8147705,-0.07,1084648
100.8161926,-0.07,1144375
100.8166443,-0.07,1112984
100.8124634,-0.07,1086194
100.811145,-0.07,1109333
100.8148682,-0.07,1145530
100.8124634,-0.07,1185169
100.8083923,-0.07,1132244
100.811377,-0.07,1127082
100.8085205,-0.07,1129491
100.8104553,-0.07,1145855
100.8105957,-0.07,1150589
100.8114319,-0.07,1125462
100.8091492,-0.07,1170574
100.8091797,-0.07,1106630
100.8075562,-0.07,1185434
100.8031494,-0.07,1159418
100.805603,-0.07,1125190
100.8053284,-0.07,1114934
100.8131348,-0.07,1134631
100.8042419,-0.07,1144118
100.8045349,-0.07,1120037
100.80896,-0.07,1132532
100.8083801,-0.07,1118709
100.8062988,-0.07,1108834
100.805304,-0.07,1146703
