Power,p2,m_gas
229.3,1.51,64695
228.9,1.51,64572
228.6,1.51,64743
229.2,1.51,64545
228.8,1.51,64616
230.1,1.51,64756
229.2,1.51,64727
229.2,1.51,64616
229.6,1.51,64750
229.1,1.51,64671
229.2,1.51,64717
229.2,1.51,64702
229.4,1.51,64621
228.9,1.51,64833
229.9,1.51,64582
230.0,1.51,64635
229.4,1.51,64699
229.8,1.51,64688
229.3,1.51,64717
229.3,1.51,64738
229.0,1.51,64613
228.9,1.51,64738
229.1,1.51,64665
229.5,1.51,64748
229.2,1.51,64723
228.8,1.51,64564
229.5,1.51,64566
229.1,1.51,64649
229.6,1.51,64615
229.7,1.51,64648
229.2,1.51,64674
229.8,1.51,64620
229.6,1.51,64827
228.7,1.51,64502
229.1,1.51,64557
229.1,1.51,64664
229.5,1.51,64602
229.2,1.51,64595
229.3,1.51,64660
229.6,1.51,64628
232.1,1.54,65390
231.4,1.54,65367
232.2,1.54,65493
231.8,1.54,65199
232.4,1.54,65389
231.5,1.54,65361
232.0,1.54,65411
232.2,1.54,65396
232.0,1.54,65466
233.0,1.54,65317
232.2,1.54,65611
232.2,1.54,65266
232.1,1.54,65397
231.9,1.54,65548
231.7,1.54,65419
231.1,1.54,65470
232.3,1.54,65426
232.4,1.54,65426
232.4,1.54,65507
231.9,1.54,65475
231.9,1.54,65470
230.1,1.54,65534
230.2,1.54,65136
230.6,1.53,65213
230.5,1.53,65051
230.7,1.53,65175
230.4,1.53,65160
230.6,1.53,65087
230.5,1.53,65123
231.1,1.53,65279
230.7,1.53,65132
230.0,1.53,65200
230.4,1.53,65061
230.7,1.53,65171
231.3,1.53,65236
230.4,1.53,65217
232.1,1.53,65170
230.3,1.54,65401
231.0,1.53,65154
230.5,1.53,65289
230.1,1.53,65015
230.6,1.53,65163
230.5,1.53,65311
230.5,1.53,65175
231.0,1.53,65132
230.4,1.53,65252
231.0,1.53,65176
230.6,1.53,65413
230.6,1.53,64976
231.8,1.53,65112
230.4,1.53,65197
230.5,1.53,65110
230.7,1.53,65114
230.2,1.53,65198
