T,t1,t2,t4
33.87604523,29.2,463.5,600.5834
33.92341995,29.5,463.6,600.9849
33.80653381,29.4,463.4,602.049
33.80027771,29.1,463.5,600.8766
33.83930969,29.1,463.1,600.3699
33.99958038,29.3,463.2,600.5995
33.93933487,29.1,463.3,600.9914
33.76990891,29.0,463.2,600.525
33.95260239,28.8,463.0,599.3347
33.88237381,29.0,463.0,599.6763
34.07974625,29.3,463.2,599.8937
34.05025101,29.3,463.1,600.5892
34.29699326,29.7,463.5,601.0106
34.29922867,29.9,463.9,602.0925
34.55896378,29.4,463.8,601.091
34.71520233,29.0,463.4,600.1252
34.75145721,29.0,463.3,599.7495
34.61177826,29.1,463.5,599.7241
34.62004852,29.1,463.4,600.3644
34.23500061,29.1,463.6,600.0585
34.0614624,29.1,463.7,600.2133
33.98141479,29.3,463.8,600.4891
33.87552643,29.3,464.0,600.7314
33.82544708,29.3,464.0,600.6653
33.83044052,29.4,464.0,600.6837
33.90787506,29.2,463.8,601.0547
33.85942078,29.1,463.8,600.8549
34.03878784,29.5,464.0,600.6829
33.87169266,29.9,464.3,601.6357
34.13186646,29.6,464.1,601.9612
34.26245499,29.4,463.8,601.6865
34.15666962,29.4,463.7,601.3134
34.0913353,29.2,463.9,600.4215
34.167774200000004,29.3,463.6,600.7956
34.06125641,29.4,463.6,601.5125
33.83412552,28.9,463.6,600.9586
33.761886600000004,28.9,463.3,600.2506
33.553779600000006,29.3,463.5,601.4307
33.50643158,29.1,463.3,601.6643
33.61246872,29.4,463.4,601.0156
33.57771301,29.6,463.6,602.0336
33.13809204,29.2,463.7,601.9846
32.77093506,29.1,463.5,601.2758
32.75426865,29.1,463.5,601.0518
32.86813736,29.1,463.4,600.7959999999999
32.67620468,28.9,463.4,601.5043
32.50550461,29.0,463.3,601.2086
32.44841766,28.9,463.2,601.0556
32.1505394,29.0,463.2,601.0829
32.11460876,29.4,463.5,601.0865
32.10095215,29.4,463.7,601.1526
32.12540436,29.2,463.5,600.9854
31.93045425,29.7,463.7,601.7975
31.91955566,29.7,464.0,602.8986
31.9732151,29.3,463.4,602.8348
31.95062637,29.0,463.2,601.1198
31.79069328,28.7,462.9,599.8478
31.81010818,28.8,462.9,599.6917
31.70220566,29.0,463.1,600.1024
31.72839165,29.3,463.3,601.0615
31.81197929,29.3,463.5,601.2501
31.8592701,29.3,463.6,600.4453
31.67141724,29.5,463.6,601.217
31.47892952,29.2,463.6,601.1546
31.43882751,29.0,463.5,601.4881
31.40671539,29.2,463.4,602.3942
31.36795044,28.7,463.3,602.2408
31.39421463,28.9,462.9,601.5325
31.36190224,29.1,463.1,601.1663
31.33845329,29.2,463.1,601.2735
31.361009600000003,29.0,463.2,601.1578
31.27198219,28.8,463.0,600.5866
31.19558907,29.1,463.0,600.9608
31.13926125,29.2,463.3,601.0212
31.08748817,29.1,463.4,600.9227
31.08110046,28.9,463.2,600.9742
31.21610832,28.8,463.1,600.3486
31.2875576,28.8,462.9,599.9393
31.38620949,29.2,463.0,600.5284
31.40745163,29.4,463.2,601.2303
31.44828796,29.0,463.3,600.4466
31.39737892,28.7,463.1,600.1004
31.30145454,29.4,463.3,601.2925
31.27815247,29.0,463.4,600.9538
31.31493378,29.0,463.1,600.8921
31.34104156,29.1,463.3,600.6665
31.31013489,29.2,463.4,600.6127
31.32005692,29.0,463.2,600.8035
31.35971069,29.2,463.2,601.727
31.32279396,29.5,463.4,602.3265
31.26246643,29.5,463.5,602.1627
31.2855854,29.3,463.4,601.572
31.32424164,29.1,463.3,600.6898
31.34353638,29.1,463.1,600.5668
31.34720039,29.2,463.3,600.6829
31.3042469,29.3,463.4,600.6592
31.30978584,29.2,463.5,600.7005
31.21996307,29.1,463.2,600.4681
31.14991188,29.0,463.1,600.7877
31.03026581,29.2,463.4,600.6566
30.98511696,29.4,463.3,601.0745
31.02511024,29.4,463.5,601.4261
30.98654556,29.4,463.5,601.5105
30.99559593,29.8,463.7,602.3698
31.02085686,29.3,463.6,601.2280000000001
31.04899216,29.2,463.1,601.5487
30.92552376,29.3,463.4,601.1691
30.84869576,29.3,463.1,601.9561
30.74085808,28.6,462.8,600.985
30.68127251,28.8,462.8,600.2855
30.69994164,29.2,462.6,600.2741
30.6206665,29.2,463.0,601.1924
30.55220985,29.4,463.1,601.9927
30.35452652,28.9,463.0,601.2394
30.31846809,29.1,463.1,601.0703
30.3738842,28.8,462.9,600.5717
30.36699104,28.9,462.8,600.4818
30.39606857,29.0,463.1,600.1607
30.36896324,29.2,463.1,600.6085
30.45965385,28.9,463.0,600.6813
30.4392643,28.7,462.8,600.0822
30.42932892,28.8,462.8,599.8197
30.30638123,29.0,463.1,599.9933
30.24345398,29.0,463.1,599.9789
30.24279213,29.2,463.2,600.3112
30.26508904,29.5,463.3,601.1472
30.33926201,29.5,463.4,601.9064
30.35740852,28.9,463.2,601.9207
30.36140442,28.9,462.9,601.7089
30.37679291,28.9,462.8,601.6121
30.32466698,29.1,463.0,602.3259
30.30361557,29.1,462.9,602.9507
30.30610275,29.2,463.0,603.0914
30.18704796,29.2,463.0,602.7289
30.08777237,29.1,463.0,601.1159
30.0617485,29.4,462.9,600.7371
30.01389694,29.5,463.3,600.8072
30.03808022,29.5,463.4,600.957
30.06791496,29.2,463.3,600.2040000000001
29.95749283,29.1,463.0,600.4236
29.88470268,28.8,462.9,599.9392
29.84687996,29.3,463.1,600.7416
29.77634239,29.5,463.0,601.4008
29.7678833,29.0,462.9,601.4537
29.74328423,28.5,462.7,601.0402
29.79781151,29.1,462.6,600.9101
29.79158211,28.8,462.6,600.3328
29.76647186,29.0,462.6,600.2507
29.75461388,28.5,462.6,600.4352
29.77556229,29.1,462.9,600.6065
29.77546501,28.9,462.7,599.7885
29.71796608,28.4,462.4,599.7375
29.65909195,28.8,462.3,599.6536
29.63510704,29.2,462.9,600.9351
29.6551342,28.5,462.4,600.5087
29.66851044,28.3,462.1,599.9099
29.60354042,28.9,462.6,600.1389
29.58456993,29.1,462.4,600.2905
29.59991646,28.2,462.3,600.5953
29.6684494,28.5,462.0,599.9636
28.00579262,28.4,462.4,608.0808
27.94184303,28.5,462.4,607.8315
27.87294388,28.3,462.3,608.1599
27.91865921,28.5,462.2,608.6019
28.039505,29.1,462.7,609.4996
28.12041283,28.8,462.7,609.7025
28.2387867,28.7,462.7,609.3296
28.24154472,28.5,462.6,609.0081
28.19508171,28.5,462.6,609.0623
28.19430923,28.7,462.6,609.5302
28.28080559,29.0,462.7,609.908
28.32805824,28.7,462.8,609.5297
28.4585247,28.8,462.6,609.3852
28.49436188,28.8,462.8,609.8325
