Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
151.0265,30.88823318,26.35176468,100.7984802,25.9,-0.07,403.2,1.14,588.9231,0.28,1171983,48442,83.16946411
150.7977,30.19711304,26.39845085,100.8002502,26.1,-0.07,403.0,1.14,589.1443,0.26,1128153,48491,83.09828186
151.0417,29.73063087,26.3365593,100.80498659999999,26.0,-0.07,403.1,1.14,589.388,0.24,1114363,48313,83.02125549
151.285,30.98795891,26.3468399,100.8013184,26.1,-0.07,403.2,1.14,589.3445,0.26,1184540,48365,83.06332397
151.3606,29.54641914,26.26673889,100.80430909999998,26.1,-0.07,403.1,1.14,589.6167,0.25,1136309,48520,83.15013885
152.6344,28.95726776,26.13455009,100.8015198,25.8,-0.07,403.0,1.14,589.3493,0.26,1145260,48648,83.32577515
151.8967,29.64194679,26.12388992,100.8026917,26.1,-0.07,403.0,1.14,589.855,0.24,1171197,48611,83.10947418
151.9071,29.47367477,26.10125542,100.7959656,26.1,-0.07,403.2,1.14,589.6464,0.29,1184508,48386,83.17268372
151.5883,30.80348778,26.07434082,100.7983337,25.7,-0.07,402.8,1.14,589.5436,0.28,1220355,48520,83.15976715
151.6559,31.39635658,26.11182213,100.7990906,25.7,-0.07,402.9,1.14,589.6918,0.3,1171495,48449,83.11427307
151.2487,30.39166451,26.16721344,100.7951233,25.9,-0.07,402.7,1.14,589.5668,0.31,1146911,48564,83.12915802
151.3008,29.52841377,26.14968491,100.7966492,26.5,-0.07,402.9,1.14,589.867,0.3,1093220,48578,83.21559143
151.1263,27.45726013,26.08725739,100.799353,25.9,-0.07,403.0,1.14,589.5874,0.28,1113160,48503,83.12712859999999
151.1764,28.2616787,26.04664612,100.8021179,26.0,-0.07,402.9,1.14,589.6594,0.27,1133155,48444,83.12097168
151.539,30.18392181,26.0143261,100.8008911,26.0,-0.07,402.9,1.14,589.6292,0.26,1056517,48592,83.15019989
151.9764,29.98079491,26.02788162,100.7982849,25.9,-0.07,402.7,1.14,589.5746,0.25,1093619,48450,83.09536743
151.3076,31.15203094,26.04797173,100.7989319,26.0,-0.07,402.7,1.14,589.6727,0.26,1116164,48524,83.13655853
151.1607,30.36444664,26.03518486,100.7982483,26.0,-0.07,402.6,1.14,589.3931,0.28,1069565,48336,83.0390625
151.5102,32.10283279,26.03144073,100.79951779999999,25.9,-0.07,402.5,1.14,589.3807,0.27,1176036,48482,83.11325836
152.1937,30.51840401,26.03186417,100.79938349999999,26.0,-0.07,402.6,1.14,589.43,0.25,1146838,48405,83.13864899
151.7895,29.89853477,26.03295135,100.79800420000001,25.7,-0.07,402.5,1.14,589.5393,0.27,1106864,48515,83.11878204
151.6252,30.61435318,26.02987099,100.8039063,25.7,-0.07,402.3,1.14,589.2413,0.26,1127077,48502,83.07567596
151.7048,30.39489365,25.99504471,100.80415649999999,25.6,-0.07,402.3,1.14,589.1981,0.25,1103464,48598,83.09483337
151.3029,29.60640144,26.05015755,100.8040344,25.7,-0.07,402.4,1.14,589.1727,0.26,1139534,48389,83.03633881
150.6395,27.92011452,25.92393112,100.8076599,25.6,-0.07,402.3,1.14,588.8964,0.26,1143701,48441,83.06820679
151.4677,27.9584713,25.84796143,100.8058472,25.8,-0.07,402.3,1.14,588.9707,0.28,1129533,48483,83.05257416
151.5158,28.29936981,25.67734337,100.80841059999999,25.8,-0.07,402.5,1.14,589.181,0.26,1099936,48344,83.07437897
151.6022,29.10113335,25.66225624,100.80595090000001,25.7,-0.07,402.4,1.14,588.8085,0.27,1139842,48478,83.06463623
151.7082,29.14319038,25.66088486,100.80354609999999,25.7,-0.08,402.1,1.14,588.7617,0.27,1159326,48501,83.05587006
152.2383,28.869262699999997,25.65049362,100.8097473,25.7,-0.07,402.3,1.14,589.2002,0.25,1141332,48484,83.10279846
151.9361,27.53137016,25.55024338,100.8049561,25.5,-0.08,402.3,1.14,588.8373,0.25,1141954,48505,83.07345581
151.6245,27.75985146,25.46992683,100.8126648,25.5,-0.07,402.3,1.14,588.8493,0.28,1192918,48491,83.05021667
151.6252,27.60671043,25.36968994,100.8112488,25.3,-0.07,402.1,1.14,588.5085,0.28,1150375,48478,83.00923157
151.6615,27.91794777,25.29948997,100.80819090000001,25.4,-0.07,402.2,1.14,588.5585,0.27,1119252,48557,83.05194092
151.7501,28.142753600000002,25.18715096,100.81270140000001,25.3,-0.07,401.9,1.14,588.5106,0.3,1119128,48364,83.05255890000001
152.02700000000002,28.3335495,25.12679863,100.8078979,25.2,-0.07,401.9,1.14,588.2859,0.31,1210964,48464,83.05567169
151.496,28.82295418,25.06295204,100.81268309999999,25.1,-0.07,401.7,1.14,587.9664,0.32,1154464,48461,82.99430084
151.8624,28.307905199999997,25.07620049,100.80702509999999,25.2,-0.07,401.7,1.14,588.1866,0.31,1103728,48578,83.03747559
152.2981,28.05798149,25.05905914,100.80648190000001,25.2,-0.07,401.8,1.14,588.2403,0.31,1073369,48486,83.01306915
151.3467,28.03043938,25.01911926,100.80842290000001,25.2,-0.07,401.8,1.14,588.1486,0.3,1110853,48538,83.00468445
151.1334,28.01021004,24.90932655,100.8103394,25.2,-0.07,401.7,1.14,588.0941,0.29,1166228,48490,83.02336121
151.6396,29.08597183,24.88480377,100.8100281,25.3,-0.07,401.7,1.14,588.1461,0.27,1136258,48496,83.02893829
151.9593,28.70207405,24.87603569,100.8094604,25.3,-0.07,401.6,1.14,588.2672,0.3,1123685,48373,83.01078796
151.7419,28.37862587,24.83785248,100.8104065,25.3,-0.07,401.7,1.14,588.3152,0.3,1123245,48467,83.02848053
151.8342,29.22045898,24.81989479,100.8111267,25.3,-0.07,401.7,1.14,588.2175,0.3,1142594,48511,83.05966949
152.0668,30.18346596,24.83941841,100.8146057,25.4,-0.07,401.7,1.14,588.1029,0.28,1166382,48471,83.05913544
151.3387,28.90202332,24.83348083,100.8139404,25.2,-0.08,401.7,1.14,588.1418,0.26,1141144,48634,83.03613281
151.5363,30.46179581,24.87640381,100.8091431,25.2,-0.07,401.7,1.14,588.2417,0.25,1127368,48546,83.061409
150.9797,27.75243187,24.79495621,100.81110840000001,25.0,-0.07,401.5,1.14,588.0757,0.28,1138283,48517,82.99469757
151.2841,27.54242897,24.72621536,100.8086243,24.8,-0.07,401.3,1.14,587.8704,0.3,1152610,48474,82.92398834
151.5688,27.89422226,24.70940971,100.8114502,25.1,-0.07,401.4,1.14,587.9925,0.27,1133213,48478,83.02114868
151.9509,28.52067947,24.71907806,100.80689090000001,25.0,-0.07,401.6,1.14,587.941,0.28,1138279,48476,82.99288940000001
151.4949,28.01372719,24.68810272,100.812854,25.0,-0.07,401.4,1.14,587.8322,0.27,1121692,48533,83.02129364
151.7962,27.83616066,24.65848351,100.802594,24.9,-0.07,401.4,1.14,587.845,0.28,1171338,48525,83.05671692
152.3778,28.32714081,24.60277367,100.8091248,25.4,-0.07,401.4,1.14,588.3578,0.32,1108485,48842,83.32769775
152.5963,28.39725304,24.58274269,100.80703740000001,25.3,-0.07,401.5,1.14,588.8796,0.28,1126575,48557,83.13985443
152.8288,28.95755768,24.58376122,100.8096252,25.2,-0.07,401.4,1.14,589.1619,0.28,1106573,48580,83.20833588
151.7096,28.77004051,24.56732368,100.8091431,25.1,-0.07,401.5,1.14,588.8713,0.3,1120904,48442,83.05979156
152.9687,29.01016426,24.47642708,100.8107422,25.0,-0.07,401.4,1.14,589.1783,0.27,1096071,48692,83.21131897
152.7371,29.292436600000002,24.43758774,100.8139343,24.9,-0.07,401.3,1.14,588.5886,0.26,1105535,48572,83.12771606
151.332,28.84186554,24.44813156,100.810553,25.0,-0.08,401.2,1.14,588.2196,0.28,1155547,48478,82.94641876
151.7359,29.1828022,24.40906906,100.81598509999999,25.0,-0.07,401.3,1.14,588.0597,0.28,1139671,48439,82.96244812
151.3216,28.50183105,24.30633545,100.8183655,24.7,-0.07,401.2,1.14,587.674,0.31,1162179,48497,82.94770813
151.6421,28.59875488,24.30906677,100.8156006,24.8,-0.07,401.2,1.14,587.6938,0.29,1162036,48400,82.90643311
152.0982,28.97256279,24.34822464,100.8131714,25.0,-0.07,401.2,1.14,587.8448,0.27,1147767,48610,83.08390808
